"prfInformationCarrier";"prfYear";"prfPrdOilNetMillSm3";"prfPrdGasNetBillSm3";"prfPrdNGLNetMillSm3";"prfPrdCondensateNetMillSm3";"prfPrdOeNetMillSm3";"prfPrdProducedWaterInFieldMillSm3";"prfNpdidInformationCarrier"
"OSEBERG SØR";"2006";"4.070";"0.759";"0.000";"0.000";"4.829";"2.379";"43645"
"OSEBERG SØR";"2007";"3.173";"0.668";"0.000";"0.000";"3.841";"2.122";"43645"
"OSEBERG SØR";"2008";"3.305";"0.603";"0.000";"0.000";"3.908";"2.048";"43645"
"OSEBERG SØR";"2009";"2.634";"0.613";"0.000";"0.000";"3.247";"1.801";"43645"
"OSEBERG SØR";"2010";"2.302";"0.629";"0.000";"0.000";"2.931";"1.715";"43645"
"OSEBERG SØR";"2011";"2.081";"0.807";"0.000";"0.000";"2.889";"1.686";"43645"
"OSEBERG SØR";"2012";"2.097";"1.118";"0.000";"0.000";"3.215";"1.683";"43645"
"OSEBERG SØR";"2013";"2.593";"0.981";"0.000";"0.000";"3.574";"2.283";"43645"
"OSEBERG SØR";"2014";"2.116";"0.630";"0.000";"0.000";"2.746";"2.406";"43645"
"OSEBERG SØR";"2015";"1.971";"0.802";"0.000";"0.000";"2.773";"2.810";"43645"
"OSEBERG SØR";"2016";"1.887";"0.734";"0.000";"0.000";"2.621";"2.807";"43645"
"OSEBERG SØR";"2017";"1.760";"0.631";"0.000";"0.000";"2.391";"2.489";"43645"
"OSEBERG SØR";"2018";"1.278";"0.534";"0.000";"0.000";"1.812";"2.117";"43645"
"OSEBERG SØR";"2019";"1.373";"0.892";"0.000";"0.000";"2.264";"2.182";"43645"
"OSEBERG SØR";"2020";"1.255";"0.699";"0.000";"0.000";"1.954";"2.396";"43645"
"OSEBERG SØR";"2021";"1.194";"0.662";"0.000";"0.000";"1.856";"2.467";"43645"
"OSEBERG SØR";"2022";"1.413";"0.438";"0.000";"0.000";"1.851";"2.412";"43645"
"OSEBERG SØR";"2023";"1.034";"0.427";"0.000";"0.000";"1.461";"2.333";"43645"
"OSEBERG ØST";"1999";"0.911";"0.000";"0.000";"0.000";"0.911";"0.000";"43639"
"OSEBERG ØST";"2000";"2.554";"0.000";"0.000";"0.000";"2.554";"0.007";"43639"
"OSEBERG ØST";"2001";"3.813";"0.000";"0.000";"0.000";"3.813";"0.332";"43639"
"OSEBERG ØST";"2002";"3.113";"0.031";"0.000";"0.000";"3.143";"1.489";"43639"
"OSEBERG ØST";"2003";"2.188";"0.082";"0.000";"0.000";"2.270";"2.218";"43639"
"OSEBERG ØST";"2004";"1.798";"0.067";"0.000";"0.000";"1.864";"2.991";"43639"
"OSEBERG ØST";"2005";"1.062";"0.037";"0.000";"0.000";"1.099";"2.770";"43639"
"OSEBERG ØST";"2006";"0.663";"0.024";"0.000";"0.000";"0.687";"2.503";"43639"
"OSEBERG ØST";"2007";"0.539";"0.020";"0.000";"0.000";"0.558";"2.577";"43639"
"OSEBERG ØST";"2008";"0.438";"0.008";"0.000";"0.000";"0.446";"1.888";"43639"
"OSEBERG ØST";"2009";"0.350";"0.006";"0.000";"0.000";"0.357";"1.251";"43639"
"OSEBERG ØST";"2010";"0.349";"0.007";"0.000";"0.000";"0.355";"1.519";"43639"
"OSEBERG ØST";"2011";"0.516";"0.010";"0.000";"0.000";"0.526";"1.352";"43639"
"OSEBERG ØST";"2012";"0.455";"0.009";"0.000";"0.000";"0.464";"1.422";"43639"
"OSEBERG ØST";"2013";"0.382";"0.007";"0.000";"0.000";"0.389";"1.586";"43639"
